step,from,to
4136,101,156
4137,156,67
4138,67,186
4139,186,16
4140,16,85
4141,85,188
4142,188,54
4143,54,134
4144,134,30
4145,30,59
4146,59,35
4147,35,53
4148,53,69
4149,69,33
4150,33,193
4151,193,17
4152,17,71
4153,71,178
4154,178,116
4155,116,27
4156,27,197
4157,197,51
4158,51,200
4159,200,63
4160,63,231
4161,231,10
4162,10,130
4163,130,54
4164,54,181
4165,181,122
4166,122,25
4167,25,212
4168,212,77
4169,77,137
4170,137,68
4171,68,169
4172,169,186
4173,186,39
4174,39,161
4175,161,219
4176,219,179
4177,179,113
4178,113,19
4179,19,228
4180,228,12
4181,12,147
4182,147,80
4183,80,133
4184,133,22
4185,22,78
4186,78,172
4187,172,65
4188,65,48
4189,48,208
4190,208,179
4191,179,63
4192,63,34
4193,34,195
4194,195,55
4195,55,173
4196,173,79
4197,79,137
4198,137,224
4199,224,35
4200,35,157
4201,157,61
4202,61,45
4203,45,202
4204,202,38
4205,38,221
4206,221,3
4207,3,200
4208,200,75
4209,75,27
4210,27,111
4211,111,45
4212,45,217
4213,217,71
4214,71,155
4215,155,92
4216,92,180
4217,180,118
4218,118,214
4219,214,67
4220,67,170
4221,170,80
4222,80,129
4223,129,19
4224,19,160
4225,160,48
4226,48,183
4227,183,58
4228,58,200
4229,200,182
4230,182,79
4231,79,226
4232,226,13
4233,13,211
4234,211,162
4235,162,178
4236,178,119
4237,119,182
4238,182,59
4239,59,145
4240,145,98
4241,98,238
4242,238,145
4243,145,69
4244,69,156
4245,156,15
4246,15,135
4247,135,78
4248,78,62
4249,62,39
4250,39,3
4251,3,20
4252,20,207
4253,207,236
4254,236,107
4255,107,31
4256,31,220
4257,220,101
4258,101,232
4259,232,9
4260,9,218
4261,218,41
4262,41,208
4263,208,19
4264,19,155
4265,155,63
4266,63,144
4267,144,38
4268,38,73
4269,73,207
4270,207,130
4271,130,235
4272,235,94
4273,94,140
4274,140,227
4275,227,110
4276,110,197
4277,197,23
4278,23,126
4279,126,6
4280,6,152
4281,152,77
4282,77,186
4283,186,205
4284,205,103
4285,103,215
4286,215,164
4287,164,87
4288,87,42
4289,42,155
4290,155,50
4291,50,175
4292,175,61
4293,61,231
4294,231,40
4295,40,182
4296,182,206
4297,206,76
4298,76,149
4299,149,28
4300,28,178
4301,178,66
4302,66,50
4303,50,149
4304,149,97
4305,97,175
4306,175,207
4307,207,14
4308,14,139
4309,139,91
4310,91,194
4311,194,39
4312,39,209
4313,209,234
4314,234,11
4315,11,230
4316,230,83
4317,83,31
4318,31,53
4319,53,196
4320,196,8
4321,8,130
4322,130,195
4323,195,88
4324,88,166
4325,166,95
4326,95,229
4327,229,122
4328,122,30
4329,30,187
4330,187,168
4331,168,57
4332,57,184
4333,184,86
4334,86,20
4335,20,199
4336,199,39
4337,39,219
4338,219,8
4339,8,109
4340,109,39
4341,39,72
4342,72,167
4343,167,62
4344,62,187
4345,187,49
4346,49,180
4347,180,90
4348,90,163
4349,163,75
4350,75,59
4351,59,43
4352,43,68
4353,68,143
4354,143,79
4355,79,184
4356,184,23
4357,23,230
4358,230,112
4359,112,210
4360,210,233
4361,233,216
4362,216,160
4363,160,26
4364,26,150
4365,150,20
4366,20,191
4367,191,66
4368,66,165
4369,165,36
4370,36,213
4371,213,18
4372,18,157
4373,157,224
4374,224,172
4375,172,84
4376,84,177
4377,177,46
4378,46,214
4379,214,167
4380,167,87
4381,87,2
4382,2,134
4383,134,21
4384,21,101
4385,101,148
4386,148,66
4387,66,183
4388,183,199
4389,199,46
4390,46,188
4391,188,41
4392,41,69
4393,69,186
4394,186,50
4395,50,172
4396,172,101
4397,101,163
4398,163,107
4399,107,192
4400,192,38
4401,38,225
4402,225,90
4403,90,203
4404,203,79
4405,79,27
4406,27,227
4407,227,14
4408,14,216
4409,216,24
4410,24,200
4411,200,37
4412,37,204
4413,204,16
4414,16,157
4415,157,173
4416,173,189
4417,189,16
4418,16,146
4419,146,226
4420,226,121
4421,121,49
4422,49,33
4423,33,105
4424,105,160
4425,160,95
4426,95,150
4427,150,12
4428,12,216
4429,216,50
4430,50,128
4431,128,24
4432,24,53
4433,53,156
4434,156,32
4435,32,158
4436,158,92
4437,92,175
4438,175,53
4439,53,189
4440,189,39
4441,39,117
4442,117,25
4443,25,193
4444,193,176
4445,176,91
4446,91,161
4447,161,66
4448,66,153
4449,153,64
4450,64,18
4451,18,106
4452,106,165
4453,165,231
4454,231,37
4455,37,141
4456,141,217
4457,217,104
4458,104,221
4459,221,237
4460,237,200
4461,200,42
4462,42,91
4463,91,206
4464,206,162
4465,162,46
4466,46,62
4467,62,171
4468,171,209
4469,209,174
4470,174,222
4471,222,30
4472,30,130
4473,130,79
4474,79,38
4475,38,113
4476,113,50
4477,50,210
4478,210,167
4479,167,233
4480,233,120
4481,120,189
4482,189,110
4483,110,195
4484,195,114
4485,114,171
4486,171,230
4487,230,85
4488,85,238
4489,238,30
4490,30,207
4491,207,70
4492,70,40
4493,40,108
4494,108,221
4495,221,159
4496,159,84
4497,84,180
4498,180,55
4499,55,71
4500,71,151
